id;name;description;priority;start_date;end_date
1;large dans la mesure où;d'entre;LOW;2024-12-18T21:25:25;2024-12-19T10:52:30
2;en outre de cuicui;plus zzzz fade;LOW;2024-12-18T20:42:27;2024-12-18T12:19:44
3;alors que;deçà;LOW;2024-12-18T18:42:32;2024-12-18T14:44:59
4;cuicui hôte;débattre adepte nonobstant;LOW;2024-12-19T06:22:47;2024-12-18T21:39:14
5;si bien que ha;étant donné que incorporer parlementaire;URGENT;2024-12-18T17:51:11;2024-12-18T20:52:39
6;tant que paf;spécialiste solliciter;URGENT;2024-12-19T02:40:52;2024-12-18T16:23:44
7;de façon à ce que de manière à ce que tout à fait;souvenir bof snob;URGENT;2024-12-19T01:57:22;2024-12-18T20:23:10
8;actionnaire ouf hé;conseil municipal;URGENT;2024-12-18T22:39:15;2024-12-19T00:33:30
9;chut coac coac;chef;NORMAL;2024-12-19T02:52:50;2024-12-19T03:06:15
10;loin;coupable pis;NORMAL;2024-12-19T10:07:05;2024-12-19T08:54:22
