id;title;description;status;due_date
1;responsable accueillir;à peine;TODO;2024-12-18T13:29:43
2;céans crac magenta;clientèle;IN_PROGRESS;2024-12-18T20:09:22
3;ouille;quand ? juriste;IN_PROGRESS;2024-12-18T16:05:45
4;du fait que porte-parole;proche de;DONE;2024-12-19T10:51:58
5;athlète;de par;TODO;2024-12-18T19:46:11
6;ensemble outre;réfléchir d'abord;DONE;2024-12-18T21:23:24
7;hôte circulaire;snif ressusciter;TODO;2024-12-18T20:29:44
8;depuis affranchir;jadis apprivoiser pin-pon;TODO;2024-12-19T01:14:18
9;touriste soit revêtir;à même dès que;IN_PROGRESS;2024-12-19T07:55:15
10;par suite de cot cot après que;actionnaire jeune enfant cocorico;TODO;2024-12-18T19:39:57
