id;title;description;status;due_date;is_completed
1;vorace;jeune enfant drelin;IN_PROGRESS;2024-12-19T03:40:30;false
2;lors;naguère;TODO;2024-12-18T13:32:08;true
3;main-d’œuvre risquer;de peur que;TODO;2024-12-19T01:55:22;true
4;alentour durant taire;coin-coin;DONE;2024-12-19T00:27:17;true
5;vlan aïe;membre de l’équipe ding;DONE;2024-12-18T16:24:00;false
6;fusiller;d’autant que debout;DONE;2024-12-19T08:19:58;true
7;responsable;renier membre à vie coin-coin;IN_PROGRESS;2024-12-18T13:36:33;false
8;sans alors que de manière à;insolite;DONE;2024-12-18T19:33:58;true
9;fonctionnaire a snif;passer;IN_PROGRESS;2024-12-19T07:30:37;false
10;rudement taper;tic-tac fonctionnaire;TODO;2024-12-18T20:13:29;true
